Zip Code;Latitude;Longitude;Area;Basic debt DOY. Control Centers;Basic Customs debt;State revenues;Total State;Basic debt e-EFKA;Collected e-EFKA;Total e-EFKA
18531;37.9447711;23.6432507;PEIRAIAS ;20868633.28;0;42161254.79;63029888.07;0;0;0
18531;37.9447711;23.6432507;PEIRAIAS ;23963698.10;0;10481870.25;34445568.35;0;0;0
18531;37.9447711;23.6432507;PEIRAIAS ;8130053.98;0;13356974.39;21487028.37;1928318.15;3420094.17;5348412.32
18531;37.9447711;23.6432507;PEIRAIAS ;9541955.54;0;11494372.90;21036328.44;351629.40;643775.80;995405.20
18531;37.9447711;23.6432507;PEIRAIAS ;7606749.12;6971644.62;6768708.44;21347102.18;0;0;0
18531;37.9447711;23.6432507;PEIRAIAS ;3781211.82;0;2139044.00;5920255.82;4669356.89;8030732.10;12700088.99
18531;37.9447711;23.6432507;PEIRAIAS ;5686447.98;13882.82;7130331.90;12830662.70;706691.09;1233071.78;1939762.87
18531;37.9447711;23.6432507;PEIRAIAS ;8501206.33;0;6249309.48;14750515.81;0;0;0
10442;38.2280667;21.7632893;ATHINA ;8525384.02;0;8800282.04;17325666.06;5372745.66;5859939.48;11232685.14
10442;38.2280667;21.7632893;ATHINA ;5454678.21;108525.18;9034518.58;14597721.97;1316210.76;2399345.97;3715556.73
10442;38.2280667;21.7632893;ATHINA ;5938559.63;0;7175432.07;13113991.70;156470.01;158569.89;315039.90
54634;40.6376556;22.954347600000002;THESSALONIKI ;341036024.22;0;271968632.85;613004657.07;459986.10;381381.74;841367.84
54634;40.6376556;22.954347600000002;THESSALONIKI ;4877847.41;0;8832037.65;13709885.06;0;0;0
10443;38.0045679;23.7160906;ATHINA ;16782766.97;1760.46;25255917.36;42040444.79;769643.19;1331937.15;2101580.34
10443;38.0045679;23.7160906;ATHINA ;9119444.71;0;18238514.24;27357958.95;0;0;0
10443;38.0045679;23.7160906;ATHINA ;5596108.59;0;7392407.89;12988516.48;3237470.83;4527383.25;7764854.08
10443;38.0045679;23.7160906;ATHINA ;12756121.20;0;3023887.31;15780008.51;0;0;0
12132;38.0061651;23.7068523;PERISTERI ;336603093.10;0;194647325.62;531250418.72;15311329.91;14026061.08;29337390.99
12132;38.0061651;23.7068523;PERISTERI ;69826812.40;0;105299507.57;175126319.97;0;0;0
12132;38.0061651;23.7068523;PERISTERI ;38074891.01;0;45070196.01;83145087.02;0;0;0
12132;38.0061651;23.7068523;PERISTERI ;10402789.20;0;8443103.38;18845892.58;729716.06;1368295.14;2098011.20
12132;38.0061651;23.7068523;PERISTERI ;11981559.47;0;7370774.71;19352334.18;0;0;0
12132;38.0061651;23.7068523;PERISTERI ;9022460.90;0;7796630.80;16819091.70;166084.30;312941.22;479025.52
12132;38.0061651;23.7068523;PERISTERI ;2139977.44;0;2858327.25;4998304.69;2588583.95;4777743.08;7366327.03
12132;38.0061651;23.7068523;PERISTERI ;9769745.38;0;1867310.61;11637055.99;0;0;0
12132;38.0061651;23.7068523;PERISTERI ;3675492.06;0;7369903.69;11045395.75;0;0;0
17671;37.95743020000001;23.7107086;KALLITHEA ;317685790.53;0;194990502.31;512676292.84;7559313.87;8258630.44;15817944.31
17671;37.95743020000001;23.7107086;KALLITHEA ;57163111.22;0;16367306.14;73530417.36;0;0;0
17671;37.95743020000001;23.7107086;KALLITHEA ;12645844.18;381.51;12935647.64;25581873.33;13062452.60;11371761.31;24434213.91
17671;37.95743020000001;23.7107086;KALLITHEA ;17907684.87;0;8288614.79;26196299.66;0;0;0
17671;37.95743020000001;23.7107086;KALLITHEA ;8815531.78;0;14634701.62;23450233.40;0;0;0
17671;37.95743020000001;23.7107086;KALLITHEA ;7021055.99;0;14041743.54;21062799.53;0;0;0
17671;37.95743020000001;23.7107086;KALLITHEA ;7442060.77;0;9490336.20;16932396.97;0;0;0
17671;37.95743020000001;23.7107086;KALLITHEA ;4429880.07;0;8854649.45;13284529.52;0;0;0
17671;37.95743020000001;23.7107086;KALLITHEA ;6480690.05;0;6570938.39;13051628.44;0;0;0
10445;38.0158537;23.7268584;ATHINA ;4969535.65;0;9764065.08;14733600.73;0;0;0
55134;40.5751549;22.9699237;KALAMARIA ;158398829.25;0;316796863.46;475195692.71;0;0;0
55134;40.5751549;22.9699237;KALAMARIA ;8399005.34;0;10950511.27;19349516.61;5095222.69;4077057.62;9172280.31
18863;37.9656089;23.5677089;PERAMA ;25729800.20;137470361.38;255787279.68;418987441.26;0;0;0
18863;37.9656089;23.5677089;PERAMA ;295352.45;69202918.81;125317982.00;194816253.26;0;0;0
18863;37.9656089;23.5677089;PERAMA ;17506414.37;45510524.75;84060941.88;147077881.00;0;0;0
18863;37.9656089;23.5677089;PERAMA ;22951798.59;27895346.67;67054032.06;117901177.32;0;0;0
18863;37.9656089;23.5677089;PERAMA ;5547214.30;1515.52;9227369.95;14776099.77;7544938.37;14263350.53;21808288.90
18863;37.9656089;23.5677089;PERAMA ;3258335.41;0;6191237.82;9449573.23;7053637.77;13116818.05;20170455.82
18863;37.9656089;23.5677089;PERAMA ;9959954.31;0;14946754.99;24906709.30;545327.28;1007452.67;1552779.95
18863;37.9656089;23.5677089;PERAMA ;6632883.37;0;13357924.19;19990807.56;0;0;0
18863;37.9656089;23.5677089;PERAMA ;5551192.49;0;10808343.55;16359536.04;974161.52;1806431.38;2780592.90
18863;37.9656089;23.5677089;PERAMA ;0;0;0;0;5235541.80;9747887.88;14983429.68
18863;37.9656089;23.5677089;PERAMA ;0;0;0;0;5960495.70;7537914.78;13498410.48
18863;37.9656089;23.5677089;PERAMA ;392375.08;0;479724.52;872099.60;4442159.15;6411457.93;10853617.08
10447;37.9823979;23.6940037;ATHINA ;10042855.83;0;20283042.05;30325897.88;368992.71;705455.31;1074448.02
19004;37.96464080000001;23.9070776;SPATA ;148288811.35;0;239309918.42;387598729.77;1798677.17;1804135.69;3602812.86
19004;37.96464080000001;23.9070776;SPATA ;4064077.54;0;1732291.58;5796369.12;7605440.80;9948561.80;17554002.60
19004;37.96464080000001;23.9070776;SPATA ;4734754.08;0;8767632.70;13502386.78;1596453.18;2407807.28;4004260.46
10551;37.9816306;23.728139600000002;ATHINA ;15113310.14;0;18755695.80;33869005.94;0;0;0
10551;37.9816306;23.728139600000002;ATHINA ;9140299.09;0;5349044.36;14489343.45;0;0;0
19003;37.8833564;23.9333037;MARKOPOULO ;154642886.43;0;195153135.72;349796022.15;13724378.87;13778878.62;27503257.49
19003;37.8833564;23.9333037;MARKOPOULO ;21299654.43;0;42657910.92;63957565.35;167267.68;319707.75;486975.43
19003;37.8833564;23.9333037;MARKOPOULO ;6196383.83;0;4471027.20;10667411.03;4210026.25;4119759.81;8329786.06
19003;37.8833564;23.9333037;MARKOPOULO ;6949460.86;0;4533542.36;11483003.22;0;0;0
10553;37.9782036;23.7189366;ATHINA ;60106822.97;603.03;75126314.22;135233740.22;645438.87;739799.66;1385238.53
10553;37.9782036;23.7189366;ATHINA ;64078.47;13400205.10;27088427.62;40552711.19;751316.66;934166.04;1685482.70
10553;37.9782036;23.7189366;ATHINA ;5419890.66;0;2100354.98;7520245.64;4270401.44;7068423.73;11338825.17
10553;37.9782036;23.7189366;ATHINA ;4675919.85;0;8094033.23;12769953.08;0;0;0
15342;38.0077479;23.825202899999997;AG PARASKEVI;460.00;162354314.11;187802345.38;350157119.49;0;0;0
15342;38.0077479;23.825202899999997;AG PARASKEVI;9356893.00;0;18713668.10;28070561.10;0;0;0
15342;38.0077479;23.825202899999997;AG PARASKEVI;11229477.37;0;4439061.54;15668538.91;0;0;0
10681;37.9864722;23.7366549;ATHINA ;136268414.18;0;200694522.97;336962937.15;1168911.84;1842154.22;3011066.06
10681;37.9864722;23.7366549;ATHINA ;4097530.41;458.69;2430410.04;6528399.14;2120894.08;3630329.48;5751223.56
10681;37.9864722;23.7366549;ATHINA ;3583093.79;0;7151297.12;10734390.91;206549.88;345526.21;552076.09
13562;38.0368388;23.7276852;AG ANARGYROI;174831849.81;0;157680931.93;332512781.74;503580.13;485184.76;988764.89
13562;38.0368388;23.7276852;AG ANARGYROI;10876187.52;0;21739882.10;32616069.62;457027.72;792655.59;1249683.31
13562;38.0368388;23.7276852;AG ANARGYROI;4127673.19;0;8741514.21;12869187.40;0;0;0
11143;38.027054299999996;23.7403394;ATHINA ;200121904.08;0;132523301.21;332645205.29;0;0;0
11143;38.027054299999996;23.7403394;ATHINA ;35679765.22;624809.09;70131020.27;106435594.58;0;0;0
11143;38.027054299999996;23.7403394;ATHINA ;5837655.38;0;7398199.32;13235854.70;1283643.92;1503947.45;2787591.37
11143;38.027054299999996;23.7403394;ATHINA ;4410431.51;358812.74;9154394.60;13923638.85;0;0;0
10557;37.9755042;23.73267610000001;ATHINA ;17992303.19;43266.41;52701281.52;70736851.12;0;0;0
10557;37.9755042;23.73267610000001;ATHINA ;14120785.09;0;6245005.58;20365790.67;0;0;0
10557;37.9755042;23.73267610000001;ATHINA ;4880361.36;0;9758157.29;14638518.65;0;0;0
10557;37.9755042;23.73267610000001;ATHINA ;7450148.35;0;7102652.21;14552800.56;0;0;0
10558;37.977031200000006;23.7223758;ATHINA ;8463594.89;0;17076642.48;25540237.37;0;0;0
10558;37.977031200000006;23.7223758;ATHINA ;8963739.97;0;14056316.98;23020056.95;0;0;0
10558;37.977031200000006;23.7223758;ATHINA ;0;0;0;0;6227468.62;10957670.97;17185139.59
57500;40.4289764;22.9304174;EPANOMI ;182386141.24;0;122074034.76;304460176.00;0;0;0
57500;40.4289764;22.9304174;EPANOMI ;61156038.95;0;37873556.51;99029595.46;0;0;0
57500;40.4289764;22.9304174;EPANOMI ;15290919.81;0;9092347.14;24383266.95;0;0;0
10559;37.9794328;23.7311148;ATHINA ;19865625.17;0;40050132.96;59915758.13;0;0;0
10559;37.9794328;23.7311148;ATHINA ;20686644.68;0;35952321.16;56638965.84;0;0;0
